#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Nov 25 21:52:36 EST 2019,66,66,Assignment5Suite,AddEdgeTest1+ AddEdgeTest2+ AddEdgeTest3+ AddEdgeTest4+ AddNodeTest0+ AddNodeTest1+ AddNodeTest2+ DelEdgeTest1+ DelNodeTest0+ DelNodeTest1+ NumEdgeTest0+ NumNodeTest0+ ShortestPathTest0+ ShortestPathTest1+ ShortestPathTest4+ ShortestPathTest5+ , ,AddEdgeTest0- DelEdgeTest0- DelEdgeTest2- DelNodeTest2- NumEdgeTest1- NumNodeTest1- ShortestPathTest2- ShortestPathTest3- , ,
1,Mon Nov 25 21:53:48 EST 2019,66,0,Assignment5Suite,AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 NumEdgeTest0 NumNodeTest0 ShortestPathTest0 ShortestPathTest1 ShortestPathTest4 ShortestPathTest5 , ,AddEdgeTest0 DelEdgeTest0 DelEdgeTest2 DelNodeTest2 NumEdgeTest1 NumNodeTest1 ShortestPathTest2 ShortestPathTest3 , ,
2,Mon Nov 25 21:56:59 EST 2019,70,4,Assignment5Suite,AddEdgeTest0+ AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 NumEdgeTest0 NumNodeTest0 ShortestPathTest0 ShortestPathTest1 ShortestPathTest4 ShortestPathTest5 , ,DelEdgeTest0 DelEdgeTest2 DelNodeTest2 NumEdgeTest1 NumNodeTest1 ShortestPathTest2 ShortestPathTest3 , ,
3,Mon Nov 25 22:00:07 EST 2019,79,9,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0+ DelEdgeTest1 DelNodeTest0 DelNodeTest1 NumEdgeTest0 NumEdgeTest1+ NumNodeTest0 ShortestPathTest0 ShortestPathTest1 ShortestPathTest4 ShortestPathTest5 , ,DelEdgeTest2 DelNodeTest2 NumNodeTest1 ShortestPathTest2 ShortestPathTest3 , ,
4,Mon Nov 25 22:06:31 EST 2019,70,-9,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 NumEdgeTest0 NumNodeTest0 ShortestPathTest0 ShortestPathTest1 ShortestPathTest4 ShortestPathTest5 , ,DelEdgeTest0- DelEdgeTest2 DelNodeTest2 NumEdgeTest1- NumNodeTest1 ShortestPathTest2 ShortestPathTest3 , ,
5,Mon Nov 25 22:06:54 EST 2019,79,9,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0+ DelEdgeTest1 DelNodeTest0 DelNodeTest1 NumEdgeTest0 NumEdgeTest1+ NumNodeTest0 ShortestPathTest0 ShortestPathTest1 ShortestPathTest4 ShortestPathTest5 , ,DelEdgeTest2 DelNodeTest2 NumNodeTest1 ShortestPathTest2 ShortestPathTest3 , ,
6,Mon Nov 25 22:10:16 EST 2019,83,4,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2+ DelNodeTest0 DelNodeTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 ShortestPathTest0 ShortestPathTest1 ShortestPathTest4 ShortestPathTest5 , ,DelNodeTest2 NumNodeTest1 ShortestPathTest2 ShortestPathTest3 , ,
7,Mon Nov 25 22:12:58 EST 2019,87,4,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2+ NumEdgeTest0 NumEdgeTest1 NumNodeTest0 ShortestPathTest0 ShortestPathTest1 ShortestPathTest4 ShortestPathTest5 , ,NumNodeTest1 ShortestPathTest2 ShortestPathTest3 , ,
8,Mon Nov 25 22:13:36 EST 2019,91,4,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1+ ShortestPathTest0 ShortestPathTest1 ShortestPathTest4 ShortestPathTest5 , ,ShortestPathTest2 ShortestPathTest3 , ,
9,Mon Nov 25 22:26:47 EST 2019,91,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 ShortestPathTest0 ShortestPathTest1 ShortestPathTest4 ShortestPathTest5 , ,ShortestPathTest2 ShortestPathTest3 , ,
10,Mon Nov 25 22:32:37 EST 2019,100,9,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 ShortestPathTest0 ShortestPathTest1 ShortestPathTest2+ ShortestPathTest3+ ShortestPathTest4 ShortestPathTest5 , , , ,
